0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,4.0,14.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,3.0,2.0,0.0,0.0,3.0,4.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,15.0,8.0,2.0,3.0,5.0,9.0,16.0,9.0,3.0,1.0,3.0,6.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0
0.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,4.0,5.0,2.0,5.0,5.0,13.0,7.0,3.0,7.0,7.0,8.0,7.0,5.0,6.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,2.0,1.0,4.0,2.0,5.0,16.0,11.0,8.0,20.0,13.0,14.0,17.0,17.0,8.0,13.0,6.0,16.0,5.0,7.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0
0.0,0.0,2.0,1.0,0.0,9.0,8.0,7.0,15.0,13.0,7.0,22.0,37.0,23.0,16.0,10.0,18.0,18.0,13.0,8.0,10.0,7.0,13.0,2.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,5.0,22.0,2.0,11.0,3.0,14.0,19.0,14.0,6.0,13.0,25.0,34.0,25.0,31.0,28.0,19.0,30.0,40.0,15.0,16.0,8.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0
0.0,0.0,7.0,8.0,9.0,7.0,14.0,16.0,28.0,31.0,37.0,42.0,21.0,24.0,32.0,33.0,30.0,23.0,39.0,33.0,11.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,7.0,13.0,19.0,18.0,10.0,30.0,20.0,17.0,31.0,20.0,38.0,27.0,17.0,30.0,11.0,20.0,5.0,6.0,7.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,8.0,7.0,34.0,32.0,21.0,41.0,22.0,11.0,25.0,21.0,16.0,30.0,21.0,28.0,27.0,16.0,7.0,6.0,0.0,6.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,8.0,22.0,17.0,35.0,47.0,25.0,26.0,50.0,26.0,30.0,46.0,39.0,30.0,47.0,30.0,21.0,21.0,23.0,6.0,12.0,6.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,26.0,29.0,27.0,26.0,51.0,33.0,35.0,33.0,30.0,37.0,58.0,33.0,16.0,39.0,19.0,18.0,21.0,15.0,21.0,6.0,4.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,5.0,10.0,28.0,15.0,11.0,13.0,26.0,18.0,18.0,16.0,17.0,26.0,17.0,21.0,23.0,13.0,18.0,17.0,22.0,16.0,2.0,6.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
