AngleStartDeg,AngleEndDeg,ObservationCount
0,10,1040
10,20,875
20,30,789
30,40,712
40,50,700
50,60,614
60,70,508
70,80,469
80,90,464
90,100,460
100,110,484
110,120,490
120,130,510
130,140,499
140,150,573
150,160,599
160,170,645
170,180,703
180,190,708
190,200,770
200,210,709
210,220,657
220,230,602
230,240,597
240,250,609
250,260,623
260,270,623
270,280,678
280,290,666
290,300,640
300,310,715
310,320,703
320,330,778
330,340,840
340,350,837
350,360,1015
