AngleStartDeg,AngleEndDeg,ObservationCount
0,10,472
10,20,449
20,30,441
30,40,402
40,50,416
50,60,409
60,70,408
70,80,364
80,90,518
90,100,387
100,110,406
110,120,379
120,130,418
130,140,393
140,150,383
150,160,380
160,170,460
170,180,435
180,190,502
190,200,524
200,210,500
210,220,516
220,230,425
230,240,432
240,250,460
250,260,544
260,270,490
270,280,515
280,290,486
290,300,462
300,310,490
310,320,492
320,330,531
330,340,425
340,350,452
350,360,444
