AngleStartDeg,AngleEndDeg,ObservationCount
0,10,898
10,20,788
20,30,685
30,40,643
40,50,623
50,60,541
60,70,421
70,80,396
80,90,400
90,100,398
100,110,434
110,120,441
120,130,448
130,140,456
140,150,476
150,160,498
160,170,527
170,180,590
180,190,596
190,200,670
200,210,604
210,220,536
220,230,506
230,240,487
240,250,493
250,260,527
260,270,539
270,280,584
280,290,590
290,300,568
300,310,626
310,320,605
320,330,695
330,340,755
340,350,768
350,360,889
