AngleStartDeg,AngleEndDeg,ObservationCount
0,10,388
10,20,365
20,30,311
30,40,313
40,50,312
50,60,362
60,70,374
70,80,314
80,90,376
90,100,310
100,110,248
110,120,268
120,130,300
130,140,330
140,150,409
150,160,358
160,170,421
170,180,504
180,190,542
190,200,457
200,210,399
210,220,408
220,230,339
230,240,354
240,250,366
250,260,355
260,270,315
270,280,311
280,290,337
290,300,324
300,310,331
310,320,299
320,330,382
330,340,413
340,350,384
350,360,361
