AngleStartDeg,AngleEndDeg,ObservationCount
0,10,1082
10,20,903
20,30,810
30,40,722
40,50,711
50,60,622
60,70,511
70,80,471
80,90,466
90,100,464
100,110,490
110,120,497
120,130,523
130,140,511
140,150,584
150,160,618
160,170,684
170,180,733
180,190,726
190,200,780
200,210,719
210,220,666
220,230,611
230,240,607
240,250,615
250,260,637
260,270,632
270,280,689
280,290,691
290,300,658
300,310,742
310,320,728
320,330,792
330,340,872
340,350,887
350,360,1063
