AngleStartDeg,AngleEndDeg,ObservationCount
0,10,197
10,20,219
20,30,260
30,40,255
40,50,216
50,60,189
60,70,175
70,80,180
80,90,165
90,100,182
100,110,159
110,120,130
120,130,128
130,140,129
140,150,145
150,160,207
160,170,228
170,180,191
180,190,169
190,200,165
200,210,188
210,220,149
220,230,160
230,240,145
240,250,175
250,260,173
260,270,202
270,280,200
280,290,193
290,300,189
300,310,150
310,320,183
320,330,175
330,340,135
340,350,130
350,360,169
