AngleStartDeg,AngleEndDeg,ObservationCount
0,10,387
10,20,358
20,30,306
30,40,307
40,50,305
50,60,358
60,70,366
70,80,305
80,90,357
90,100,296
100,110,242
110,120,262
120,130,294
130,140,322
140,150,398
150,160,343
160,170,407
170,180,499
180,190,527
190,200,452
200,210,396
210,220,406
220,230,336
230,240,349
240,250,356
250,260,349
260,270,313
270,280,310
280,290,334
290,300,321
300,310,325
310,320,293
320,330,370
330,340,407
340,350,381
350,360,357
