AngleStartDeg,AngleEndDeg,ObservationCount
0,10,537
10,20,520
20,30,406
30,40,374
40,50,447
50,60,457
60,70,527
70,80,531
80,90,571
90,100,595
100,110,506
110,120,537
120,130,527
130,140,545
140,150,545
150,160,591
160,170,605
170,180,577
180,190,555
190,200,806
200,210,441
210,220,384
220,230,340
230,240,374
240,250,426
250,260,479
260,270,429
270,280,487
280,290,488
290,300,464
300,310,440
310,320,463
320,330,459
330,340,519
340,350,465
350,360,446
