AngleStartDeg,AngleEndDeg,ObservationCount
0,10,367
10,20,401
20,30,345
30,40,339
40,50,398
50,60,387
60,70,397
70,80,439
80,90,467
90,100,444
100,110,341
110,120,308
120,130,297
130,140,340
140,150,358
150,160,430
160,170,350
170,180,398
180,190,548
190,200,569
200,210,459
210,220,404
220,230,382
230,240,348
240,250,378
250,260,388
260,270,418
270,280,375
280,290,343
290,300,331
300,310,304
310,320,303
320,330,385
330,340,360
340,350,354
350,360,362
