AngleStartDeg,AngleEndDeg,ObservationCount
0,10,845
10,20,740
20,30,630
30,40,576
40,50,583
50,60,495
60,70,388
70,80,354
80,90,342
90,100,358
100,110,377
110,120,370
120,130,375
130,140,360
140,150,392
150,160,444
160,170,471
170,180,476
180,190,520
190,200,603
200,210,529
210,220,449
220,230,415
230,240,415
240,250,393
250,260,418
260,270,443
270,280,472
280,290,488
290,300,471
300,310,508
310,320,531
320,330,605
330,340,666
340,350,688
350,360,814
