AngleStartDeg,AngleEndDeg,ObservationCount
0,10,311
10,20,256
20,30,200
30,40,220
40,50,242
50,60,224
60,70,235
70,80,222
80,90,237
90,100,254
100,110,245
110,120,253
120,130,273
130,140,253
140,150,263
150,160,272
160,170,278
170,180,290
180,190,287
190,200,569
200,210,254
210,220,198
220,230,180
230,240,195
240,250,187
250,260,230
260,270,191
270,280,213
280,290,210
290,300,239
300,310,263
310,320,255
320,330,253
330,340,288
340,350,268
350,360,266
