AngleStartDeg,AngleEndDeg,ObservationCount
0,10,371
10,20,391
20,30,343
30,40,373
40,50,404
50,60,434
60,70,354
70,80,397
80,90,363
90,100,401
100,110,303
110,120,302
120,130,299
130,140,285
140,150,310
150,160,323
160,170,384
170,180,380
180,190,446
190,200,462
200,210,427
210,220,412
220,230,388
230,240,375
240,250,407
250,260,362
260,270,388
270,280,338
280,290,317
290,300,290
300,310,311
310,320,326
320,330,296
330,340,335
340,350,391
350,360,388
