AngleStartDeg,AngleEndDeg,ObservationCount
0,10,774
10,20,764
20,30,648
30,40,618
40,50,589
50,60,633
60,70,684
70,80,604
80,90,725
90,100,589
100,110,646
110,120,623
120,130,600
130,140,570
140,150,569
150,160,564
160,170,668
170,180,654
180,190,724
190,200,722
200,210,734
210,220,710
220,230,606
230,240,628
240,250,680
250,260,760
260,270,651
270,280,680
280,290,681
290,300,631
300,310,656
310,320,723
320,330,781
330,340,670
340,350,711
350,360,690
