AngleStartDeg,AngleEndDeg,ObservationCount
0,10,415
10,20,413
20,30,442
30,40,439
40,50,378
50,60,360
60,70,335
70,80,330
80,90,361
90,100,371
100,110,299
110,120,269
120,130,253
130,140,260
140,150,311
150,160,404
160,170,383
170,180,352
180,190,335
190,200,327
200,210,330
210,220,271
220,230,275
230,240,252
240,250,270
250,260,293
260,270,297
270,280,352
280,290,358
290,300,348
300,310,291
310,320,350
320,330,349
330,340,347
340,350,325
350,360,319
