AngleStartDeg,AngleEndDeg,ObservationCount
0,10,903
10,20,879
20,30,773
30,40,745
40,50,721
50,60,738
60,70,791
70,80,725
80,90,817
90,100,701
100,110,730
110,120,709
120,130,710
130,140,654
140,150,657
150,160,676
160,170,794
170,180,831
180,190,906
190,200,906
200,210,884
210,220,826
220,230,710
230,240,716
240,250,760
250,260,826
260,270,734
270,280,795
280,290,777
290,300,690
300,310,723
310,320,761
320,330,859
330,340,756
340,350,803
350,360,773
