AngleStartDeg,AngleEndDeg,ObservationCount
0,10,286
10,20,254
20,30,243
30,40,213
40,50,239
50,60,236
60,70,228
70,80,213
80,90,178
90,100,175
100,110,177
110,120,191
120,130,147
130,140,188
140,150,249
150,160,260
160,170,285
170,180,254
180,190,304
190,200,285
200,210,246
210,220,178
220,230,184
230,240,195
240,250,212
250,260,203
260,270,233
270,280,237
280,290,220
290,300,234
300,310,235
310,320,254
320,330,249
330,340,252
340,350,265
350,360,287
