AngleStartDeg,AngleEndDeg,ObservationCount
0,10,831
10,20,800
20,30,685
30,40,651
40,50,621
50,60,661
60,70,727
70,80,646
80,90,763
90,100,647
100,110,680
110,120,670
120,130,642
130,140,596
140,150,591
150,160,599
160,170,708
170,180,718
180,190,789
190,200,761
200,210,751
210,220,728
220,230,628
230,240,657
240,250,697
250,260,774
260,270,673
270,280,731
280,290,711
290,300,647
300,310,680
310,320,733
320,330,816
330,340,715
340,350,760
350,360,728
