Episode,Outcome,DurationSeconds,Steps,DamageDealt,MeanEncirclementSpanDeg,MeanDistanceToPlayer
1,EnemyWon,28.36,1418,176.00,128.6,2.37
2,PlayerWon,3.00,151,22.00,51.6,2.70
3,PlayerWon,28.13,1406,158.00,147.7,2.36
4,EnemyWon,1.67,83,0.00,144.2,1.67
5,PlayerWon,3.69,185,4.00,140.9,1.54
6,PlayerWon,27.52,1376,166.00,149.9,2.04
7,PlayerWon,26.14,1307,152.00,143.5,2.48
8,PlayerWon,4.04,202,18.00,127.7,2.08
9,EnemyWon,3.21,160,30.00,86.3,2.33
10,PlayerWon,20.26,1014,112.00,114.5,2.34
11,PlayerWon,11.46,573,40.00,123.3,3.46
12,EnemyWon,15.89,794,132.00,132.1,2.32
13,EnemyWon,26.83,1342,170.00,129.2,2.05
14,PlayerWon,1.52,76,8.00,29.5,3.15
15,PlayerWon,22.38,1119,138.00,120.5,2.34
16,PlayerWon,29.82,1491,204.00,116.4,2.35
17,EnemyWon,1.72,86,0.00,57.2,5.47
18,EnemyWon,31.60,1580,184.00,129.5,2.20
19,PlayerWon,6.44,322,48.00,141.5,2.17
20,PlayerWon,6.60,330,36.00,52.8,3.25
21,PlayerWon,29.14,1457,168.00,130.6,2.14
22,PlayerWon,1.82,91,12.00,148.1,2.65
23,EnemyWon,0.32,16,0.00,91.4,5.12
24,PlayerWon,23.98,1199,146.00,115.5,2.06
25,PlayerWon,29.42,1471,188.00,110.5,2.22
26,EnemyWon,0.96,48,0.00,26.0,4.67
27,PlayerWon,21.08,1054,158.00,113.0,2.14
28,EnemyWon,1.30,65,8.00,151.9,2.78
29,PlayerWon,5.64,282,42.00,48.1,2.62
30,PlayerWon,26.88,1344,134.00,132.9,2.71
31,PlayerWon,1.16,58,14.00,132.4,2.64
32,EnemyWon,5.54,277,24.00,87.1,1.89
33,PlayerWon,17.99,899,128.00,134.1,1.96
34,PlayerWon,14.22,711,64.00,136.2,3.08
35,EnemyWon,20.73,1036,114.00,107.7,2.14
36,PlayerWon,15.16,758,96.00,122.1,2.17
37,PlayerWon,2.81,141,12.00,162.3,3.03
38,EnemyWon,34.67,1733,210.00,134.1,2.40
39,PlayerWon,9.93,497,40.00,88.2,2.56
40,PlayerWon,1.16,58,6.00,126.5,3.21
41,PlayerWon,17.56,878,114.00,117.7,2.41
42,PlayerWon,24.00,1200,152.00,96.2,2.52
43,EnemyWon,5.03,251,36.00,123.9,2.06
44,PlayerWon,20.44,1022,110.00,111.5,2.34
45,PlayerWon,4.96,248,26.00,130.3,2.49
46,PlayerWon,21.78,1089,94.00,103.2,2.27
47,EnemyWon,11.64,582,82.00,91.9,2.48
48,PlayerWon,6.36,318,42.00,94.4,3.21
49,PlayerWon,2.20,110,8.00,124.0,1.83
50,PlayerWon,26.98,1349,182.00,108.7,2.38
