Episode,Outcome,DurationSeconds,Steps,DamageDealt,MeanEncirclementSpanDeg,MeanDistanceToPlayer
1,PlayerWon,31.84,1593,148.00,123.2,3.38
2,EnemyWon,40.58,2029,178.00,120.2,3.22
3,PlayerWon,15.04,752,72.00,136.4,3.60
4,PlayerWon,9.16,458,8.00,40.8,6.31
5,PlayerWon,6.98,349,34.00,156.4,3.21
6,PlayerWon,27.38,1369,118.00,142.0,3.35
7,EnemyWon,7.60,380,48.00,133.5,1.96
8,PlayerWon,22.72,1136,88.00,116.7,3.84
9,PlayerWon,4.38,219,0.00,176.5,5.05
10,EnemyWon,30.18,1509,154.00,152.4,2.56
11,PlayerWon,14.10,705,80.00,136.2,3.49
12,PlayerWon,16.66,833,84.00,121.5,3.44
13,EnemyWon,1.04,52,0.00,72.2,3.06
14,PlayerWon,33.00,1650,146.00,101.1,3.61
15,EnemyWon,29.20,1460,182.00,150.3,2.59
16,PlayerWon,3.10,155,20.00,63.0,2.87
17,PlayerWon,16.00,800,76.00,112.7,2.68
18,PlayerWon,9.08,454,56.00,119.7,3.20
19,EnemyWon,27.33,1366,186.00,113.9,1.99
20,PlayerWon,8.83,442,54.00,110.3,1.52
21,EnemyWon,29.14,1457,128.00,139.7,3.70
22,PlayerWon,5.94,297,18.00,128.3,5.09
23,PlayerWon,2.24,112,12.00,147.8,5.06
24,EnemyWon,35.61,1780,174.00,145.1,3.50
25,PlayerWon,34.70,1735,60.00,64.9,4.86
26,PlayerWon,19.68,984,36.00,100.7,4.53
27,EnemyWon,19.46,972,62.00,118.4,3.54
28,PlayerWon,10.62,532,32.00,119.4,2.79
29,PlayerWon,19.32,966,94.00,88.3,3.10
30,PlayerWon,9.98,499,38.00,157.1,2.54
31,EnemyWon,10.27,513,30.00,61.9,3.23
32,PlayerWon,30.69,1535,166.00,110.9,2.71
33,PlayerWon,15.76,788,88.00,129.8,2.97
34,EnemyWon,19.88,994,86.00,133.7,2.02
35,PlayerWon,0.90,45,8.00,7.0,3.74
36,PlayerWon,3.68,184,8.00,126.4,2.54
37,PlayerWon,13.44,672,34.00,88.9,3.99
38,PlayerWon,30.20,1510,140.00,112.5,1.99
39,EnemyWon,0.27,13,0.00,140.1,6.33
40,PlayerWon,12.93,647,26.00,141.9,5.00
41,PlayerWon,32.44,1622,126.00,141.9,3.01
42,EnemyWon,10.06,503,44.00,147.5,2.44
43,PlayerWon,28.74,1437,124.00,126.0,2.79
44,PlayerWon,13.42,671,38.00,168.9,4.08
45,PlayerWon,28.58,1429,130.00,129.9,2.18
46,EnemyWon,11.74,587,74.00,114.2,2.11
47,PlayerWon,12.82,641,74.00,84.3,2.06
48,EnemyWon,26.49,1324,122.00,109.7,2.48
49,PlayerWon,7.98,400,8.00,52.9,5.66
50,EnemyWon,27.53,1376,192.00,120.8,2.50
51,PlayerWon,0.17,9,8.00,196.5,1.51
52,EnemyWon,27.16,1357,172.00,148.8,1.83
