Episode,Outcome,DurationSeconds,Steps,DamageDealt,MeanEncirclementSpanDeg,MeanDistanceToPlayer
1,PlayerWon,23.42,1172,118.00,117.2,2.58
2,EnemyWon,23.14,1157,156.00,100.2,2.33
3,EnemyWon,32.39,1619,210.00,108.9,2.25
4,EnemyWon,27.61,1380,162.00,93.7,2.00
5,EnemyWon,25.87,1294,168.00,104.9,2.52
6,EnemyWon,32.53,1626,178.00,100.4,2.56
7,EnemyWon,32.36,1618,170.00,104.4,2.61
8,EnemyWon,31.65,1583,188.00,112.1,2.83
9,EnemyWon,31.13,1556,190.00,105.0,2.64
10,EnemyWon,56.23,2812,156.00,73.6,2.69
11,EnemyWon,31.16,1558,178.00,120.9,2.37
12,EnemyWon,47.69,2384,204.00,85.2,2.56
13,EnemyWon,29.46,1473,188.00,123.4,2.20
14,EnemyWon,31.10,1555,196.00,116.5,2.15
15,EnemyWon,36.79,1839,196.00,91.1,2.50
16,EnemyWon,34.44,1723,202.00,115.6,2.25
