Episode,Outcome,DurationSeconds,Steps,DamageDealt,MeanEncirclementSpanDeg,MeanDistanceToPlayer
1,PlayerWon,18.76,939,112.00,110.4,1.98
2,PlayerWon,37.20,1860,188.00,134.5,2.60
3,EnemyWon,0.72,36,0.00,100.4,2.71
4,PlayerWon,21.93,1097,132.00,153.0,2.34
5,PlayerWon,1.50,75,4.00,94.5,2.71
6,EnemyWon,25.95,1297,162.00,129.4,2.30
7,PlayerWon,12.49,625,98.00,125.2,1.86
8,PlayerWon,8.42,421,58.00,128.9,2.35
9,EnemyWon,4.80,240,22.00,114.3,2.18
10,PlayerWon,5.74,287,20.00,33.0,2.74
11,PlayerWon,30.52,1526,166.00,141.3,2.40
12,EnemyWon,1.66,83,6.00,171.5,2.35
13,PlayerWon,24.06,1203,134.00,100.3,2.39
14,EnemyWon,9.73,486,56.00,164.9,2.36
15,PlayerWon,4.21,211,22.00,100.8,3.16
16,PlayerWon,27.96,1398,178.00,131.0,2.26
17,EnemyWon,1.76,88,0.00,89.0,3.71
18,PlayerWon,7.64,382,30.00,117.7,3.08
19,PlayerWon,9.50,475,56.00,163.1,1.92
20,EnemyWon,26.07,1303,184.00,150.2,2.31
21,PlayerWon,12.67,634,76.00,116.8,2.12
22,EnemyWon,13.47,673,98.00,133.3,2.05
23,PlayerWon,7.12,356,40.00,138.4,1.84
24,PlayerWon,4.68,234,36.00,127.3,1.98
25,EnemyWon,28.77,1438,178.00,133.3,2.50
26,PlayerWon,14.63,732,90.00,115.6,2.33
27,EnemyWon,21.01,1050,96.00,133.8,2.05
28,PlayerWon,0.31,16,6.00,53.2,2.94
29,PlayerWon,3.40,170,12.00,112.6,3.61
30,EnemyWon,27.98,1398,198.00,115.0,2.44
31,EnemyWon,29.97,1499,198.00,89.4,2.36
32,PlayerWon,8.49,425,56.00,97.4,2.01
33,PlayerWon,8.06,403,44.00,115.9,2.60
34,PlayerWon,4.53,226,12.00,64.7,3.98
35,PlayerWon,13.56,678,82.00,97.6,2.83
36,PlayerWon,14.54,727,64.00,132.3,2.58
37,EnemyWon,7.29,364,28.00,111.5,2.32
38,PlayerWon,3.27,164,12.00,89.8,3.36
39,EnemyWon,28.21,1410,166.00,117.7,2.58
40,PlayerWon,1.29,65,8.00,43.4,4.76
41,PlayerWon,20.26,1013,104.00,124.5,2.92
42,EnemyWon,10.03,501,62.00,156.5,2.13
43,PlayerWon,14.55,728,104.00,142.8,2.20
44,PlayerWon,12.66,633,68.00,115.4,2.51
45,EnemyWon,11.76,587,88.00,120.9,1.81
46,PlayerWon,3.28,165,20.00,33.7,3.69
47,PlayerWon,17.21,860,116.00,135.8,2.14
48,PlayerWon,0.91,46,0.00,38.7,4.99
49,PlayerWon,25.74,1287,132.00,118.5,2.27
50,PlayerWon,2.88,144,12.00,111.2,2.27
