Episode,Outcome,DurationSeconds,Steps,DamageDealt,MeanEncirclementSpanDeg,MeanDistanceToPlayer
1,EnemyWon,35.72,1787,180.00,130.8,2.39
2,PlayerWon,11.46,573,64.00,143.8,2.61
3,PlayerWon,22.62,1131,96.00,79.4,3.21
4,EnemyWon,11.94,596,74.00,95.1,2.34
5,PlayerWon,25.79,1290,116.00,112.0,2.62
6,PlayerWon,15.24,762,32.00,175.4,4.08
7,PlayerWon,47.50,2375,142.00,120.6,3.77
8,PlayerWon,7.66,383,4.00,122.4,5.58
9,EnemyWon,11.38,569,24.00,136.5,2.63
10,PlayerWon,7.94,397,30.00,104.4,2.57
11,PlayerWon,15.00,750,66.00,92.7,2.98
12,PlayerWon,21.87,1094,58.00,130.2,2.97
13,PlayerWon,8.20,410,24.00,120.0,5.05
14,PlayerWon,0.70,35,0.00,116.4,7.41
15,PlayerWon,29.86,1493,148.00,137.8,3.45
16,EnemyWon,6.06,303,24.00,144.4,4.71
17,PlayerWon,14.39,719,86.00,158.3,2.51
18,EnemyWon,17.76,888,104.00,122.0,2.14
19,PlayerWon,4.80,240,18.00,112.6,4.14
20,EnemyWon,25.06,1253,180.00,131.4,2.11
21,PlayerWon,20.07,1004,106.00,103.1,2.91
22,PlayerWon,26.07,1303,58.00,148.1,4.04
23,PlayerWon,3.82,191,0.00,125.8,4.23
24,PlayerWon,31.70,1585,150.00,128.6,2.99
25,PlayerWon,5.14,257,12.00,83.0,5.82
26,PlayerWon,4.82,241,4.00,132.6,2.77
27,PlayerWon,35.81,1791,160.00,111.0,3.41
28,EnemyWon,3.74,187,0.00,57.9,4.51
29,PlayerWon,9.54,477,18.00,114.8,5.51
30,PlayerWon,10.17,508,24.00,139.2,4.04
31,PlayerWon,21.06,1053,134.00,142.6,2.71
32,EnemyWon,7.66,383,54.00,117.8,2.00
33,PlayerWon,15.73,787,70.00,100.2,1.98
34,PlayerWon,7.28,364,32.00,118.6,2.36
35,PlayerWon,13.66,683,66.00,93.0,2.79
36,EnemyWon,18.08,904,116.00,121.9,2.65
37,PlayerWon,39.69,1984,154.00,136.1,4.22
38,EnemyWon,4.47,224,12.00,154.9,3.65
39,PlayerWon,6.33,316,12.00,83.6,5.32
40,EnemyWon,35.04,1752,160.00,126.2,3.06
41,PlayerWon,6.26,313,32.00,138.7,3.23
42,PlayerWon,3.24,162,12.00,169.6,3.46
43,PlayerWon,19.58,979,128.00,152.4,2.43
44,EnemyWon,26.11,1305,168.00,138.3,1.98
45,EnemyWon,25.38,1269,176.00,102.9,2.49
46,PlayerWon,6.40,320,26.00,164.5,4.10
47,PlayerWon,15.39,770,60.00,146.1,4.19
48,PlayerWon,6.84,342,14.00,155.8,4.19
49,EnemyWon,32.82,1640,192.00,129.2,2.79
50,PlayerWon,1.22,62,8.00,153.6,2.99
51,EnemyWon,26.32,1316,172.00,155.2,2.11
52,PlayerWon,8.40,420,24.00,82.5,3.22
53,PlayerWon,29.48,1474,80.00,105.3,4.34
