Episode,Outcome,DurationSeconds,Steps,DamageDealt,MeanEncirclementSpanDeg,MeanDistanceToPlayer
1,PlayerWon,17.20,861,42.00,81.0,3.46
2,PlayerWon,17.54,877,70.00,63.7,3.94
3,PlayerWon,20.10,1005,78.00,89.4,2.54
4,PlayerWon,15.66,783,56.00,58.3,2.48
5,PlayerWon,18.50,925,62.00,82.4,3.55
6,EnemyWon,37.60,1880,154.00,79.0,2.97
7,PlayerWon,35.11,1755,168.00,82.1,2.41
8,PlayerWon,25.02,1251,74.00,110.7,2.58
9,PlayerWon,19.78,989,90.00,104.4,2.57
10,EnemyWon,43.98,2199,152.00,32.7,3.85
11,PlayerWon,14.56,728,54.00,54.5,2.85
12,PlayerWon,33.40,1670,112.00,95.5,2.77
13,PlayerWon,55.62,2781,138.00,82.7,3.23
14,PlayerWon,19.14,957,98.00,104.0,2.45
15,PlayerWon,33.98,1699,118.00,78.8,2.65
16,PlayerWon,24.42,1221,98.00,67.1,2.43
17,PlayerWon,19.64,982,98.00,66.9,2.91
18,EnemyWon,36.82,1841,158.00,56.1,2.99
19,EnemyWon,45.78,2289,172.00,72.6,2.97
20,PlayerWon,21.70,1085,94.00,75.5,2.49
21,PlayerWon,19.26,963,78.00,53.2,2.46
22,PlayerWon,20.94,1047,64.00,75.5,2.27
23,PlayerWon,35.90,1795,144.00,78.8,2.71
24,PlayerWon,22.82,1141,66.00,60.3,2.58
25,EnemyWon,41.55,2077,148.00,62.4,2.17
26,PlayerWon,19.19,960,64.00,96.0,3.02
27,PlayerWon,42.92,2146,134.00,66.4,3.25
28,PlayerWon,22.48,1124,102.00,87.9,2.89
29,PlayerWon,20.12,1006,94.00,72.3,2.44
30,PlayerWon,20.62,1031,88.00,62.3,3.51
31,EnemyWon,59.55,2977,162.00,65.4,2.66
32,PlayerWon,47.93,2397,76.00,92.2,3.05
33,PlayerWon,41.98,2099,108.00,102.5,2.41
34,PlayerWon,18.28,914,84.00,48.0,2.32
35,PlayerWon,20.92,1046,72.00,96.6,3.01
36,EnemyWon,44.22,2211,148.00,69.6,3.11
37,PlayerWon,16.05,803,72.00,60.5,2.54
38,PlayerWon,50.80,2540,140.00,34.9,3.02
39,PlayerWon,22.84,1142,40.00,58.6,3.53
40,PlayerWon,16.06,803,60.00,76.0,2.76
41,PlayerWon,28.60,1430,116.00,55.3,2.82
42,PlayerWon,25.06,1253,98.00,67.5,3.09
43,PlayerWon,20.30,1015,104.00,46.1,2.20
44,PlayerWon,19.72,986,74.00,43.7,2.40
45,PlayerWon,48.86,2443,70.00,60.3,3.44
46,PlayerWon,23.60,1180,80.00,70.4,3.02
47,PlayerWon,13.04,652,26.00,47.6,3.33
48,EnemyWon,44.77,2238,152.00,59.0,3.80
49,PlayerWon,16.39,820,72.00,51.9,2.23
