Episode,Outcome,DurationSeconds,Steps,DamageDealt,MeanEncirclementSpanDeg,MeanDistanceToPlayer
1,EnemyWon,26.30,1315,162.00,115.7,2.29
2,PlayerWon,1.69,85,10.00,92.2,2.16
3,EnemyWon,30.43,1522,170.00,96.0,2.53
4,PlayerWon,9.73,486,44.00,153.4,4.38
5,PlayerWon,1.77,89,0.00,71.4,3.47
6,PlayerWon,7.58,379,40.00,149.3,4.03
7,PlayerWon,18.88,944,118.00,79.9,2.53
8,EnemyWon,12.20,610,52.00,73.8,2.23
9,PlayerWon,3.71,186,36.00,136.8,1.96
10,PlayerWon,13.14,657,84.00,104.0,2.64
11,EnemyWon,36.76,1838,216.00,136.6,2.73
12,PlayerWon,12.37,619,54.00,125.3,3.16
13,EnemyWon,32.88,1644,104.00,150.7,4.17
14,PlayerWon,15.44,772,100.00,149.1,2.24
15,PlayerWon,15.41,771,72.00,119.9,2.69
16,PlayerWon,25.28,1264,172.00,153.1,2.24
17,EnemyWon,6.21,310,44.00,135.1,2.47
18,PlayerWon,9.37,469,50.00,52.0,2.77
19,PlayerWon,10.10,505,76.00,168.8,4.04
20,PlayerWon,11.00,550,38.00,126.7,3.49
21,EnemyWon,23.32,1166,140.00,155.1,2.18
22,PlayerWon,6.62,331,16.00,78.4,5.91
23,PlayerWon,4.06,203,8.00,169.4,4.62
24,EnemyWon,30.00,1500,190.00,126.3,2.70
25,PlayerWon,7.41,371,24.00,84.0,3.20
26,PlayerWon,8.38,419,66.00,131.1,2.22
27,PlayerWon,10.10,505,36.00,103.4,2.79
28,EnemyWon,32.47,1623,190.00,104.0,2.49
29,PlayerWon,3.70,186,28.00,46.7,2.83
30,PlayerWon,7.22,361,18.00,147.4,2.64
31,PlayerWon,15.04,752,92.00,73.8,2.17
32,PlayerWon,19.32,966,98.00,112.1,2.29
33,EnemyWon,15.74,787,90.00,150.8,2.25
34,PlayerWon,14.48,724,114.00,104.3,1.71
35,PlayerWon,1.66,83,0.00,42.3,1.85
36,EnemyWon,26.71,1335,166.00,124.4,2.43
37,PlayerWon,15.03,752,88.00,120.7,3.00
38,EnemyWon,14.50,724,102.00,126.0,3.22
39,PlayerWon,0.93,47,8.00,61.4,2.08
40,PlayerWon,1.56,78,0.00,78.1,3.29
41,EnemyWon,30.48,1523,176.00,132.8,2.63
42,PlayerWon,0.83,42,8.00,59.7,2.41
43,PlayerWon,14.10,705,50.00,103.7,4.13
44,PlayerWon,17.88,894,114.00,167.6,2.14
45,PlayerWon,26.12,1306,134.00,121.9,2.41
46,EnemyWon,5.70,285,30.00,158.6,2.79
47,PlayerWon,11.07,554,28.00,149.7,5.43
48,EnemyWon,28.00,1399,170.00,102.1,3.46
49,PlayerWon,23.71,1186,168.00,128.6,2.45
50,PlayerWon,33.02,1651,180.00,104.1,2.44
51,EnemyWon,0.60,30,0.00,188.9,1.00
52,EnemyWon,0.00,0,4.00,0.0,0.00
