Episode,Outcome,DurationSeconds,Steps,DamageDealt,MeanEncirclementSpanDeg,MeanDistanceToPlayer
1,PlayerWon,12.80,641,40.00,83.4,3.24
2,PlayerWon,45.24,2262,128.00,42.3,3.09
3,PlayerWon,25.94,1297,78.00,53.3,3.72
4,PlayerWon,25.52,1276,80.00,53.0,2.90
5,PlayerWon,38.64,1932,168.00,66.1,2.17
6,EnemyWon,38.77,1938,144.00,75.7,2.72
7,PlayerWon,47.23,2362,86.00,21.1,2.95
8,PlayerWon,26.36,1318,80.00,55.1,3.43
9,PlayerWon,19.34,967,62.00,76.6,3.67
10,PlayerWon,25.82,1291,94.00,74.0,3.88
11,PlayerWon,24.18,1209,68.00,37.5,2.84
12,PlayerWon,108.72,5436,96.00,86.7,2.74
13,PlayerWon,28.40,1420,106.00,34.4,2.75
14,PlayerWon,34.30,1715,116.00,51.0,3.10
15,PlayerWon,28.50,1425,104.00,43.2,2.65
16,PlayerWon,19.26,963,70.00,79.7,3.17
17,PlayerWon,26.20,1310,112.00,63.5,2.79
18,EnemyWon,44.51,2225,164.00,56.9,2.25
19,PlayerWon,32.64,1632,74.00,96.1,5.04
20,PlayerWon,16.18,809,28.00,64.0,2.65
21,PlayerWon,26.06,1303,86.00,61.0,3.50
22,PlayerWon,24.56,1228,94.00,66.7,3.18
23,PlayerWon,25.72,1286,86.00,76.1,2.24
24,PlayerWon,17.36,868,36.00,61.1,4.08
25,PlayerWon,19.92,996,36.00,58.4,4.34
26,EnemyWon,47.66,2383,144.00,84.9,4.18
27,PlayerWon,15.48,774,34.00,41.3,2.96
28,PlayerWon,14.84,742,50.00,74.8,3.71
29,EnemyWon,108.08,5404,154.00,67.5,3.69
30,PlayerWon,30.34,1517,134.00,70.5,3.38
31,PlayerWon,31.30,1565,96.00,73.6,3.82
32,PlayerWon,28.08,1404,104.00,37.5,3.47
33,PlayerWon,18.42,921,72.00,95.4,2.72
34,PlayerWon,23.74,1187,58.00,25.8,3.13
35,PlayerWon,40.68,2034,144.00,50.8,3.35
36,PlayerWon,10.95,547,40.00,87.3,2.26
37,PlayerWon,16.64,832,72.00,59.3,3.20
38,PlayerWon,15.00,750,64.00,41.0,3.27
39,PlayerWon,18.96,948,72.00,56.3,2.73
40,PlayerWon,23.14,1157,114.00,90.2,2.74
41,PlayerWon,46.20,2310,144.00,51.2,4.40
42,PlayerWon,26.14,1307,82.00,58.6,2.46
43,PlayerWon,17.48,874,78.00,67.5,2.35
44,PlayerWon,20.34,1017,96.00,59.1,2.45
45,PlayerWon,23.20,1160,108.00,89.5,2.74
46,PlayerWon,52.52,2626,58.00,33.8,4.91
47,PlayerWon,15.66,783,70.00,105.0,3.37
48,PlayerWon,33.54,1677,132.00,65.3,3.03
49,PlayerWon,42.06,2103,122.00,52.0,2.85
50,PlayerWon,19.08,954,56.00,81.8,3.60
